,Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSH,PSD,PSA,PSCH,PSCD,PSCA,SOH,SOD,SOA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,SYH,SYD,SYA
0,N1,1998_1999,20/08/98,Heerenveen,Twente,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,N1,1998_1999,21/08/98,For Sittard,Feyenoord,1.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,N1,1998_1999,22/08/98,AZ Alkmaar,Sparta,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,N1,1998_1999,22/08/98,Cambuur,PSV Eindhoven,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,N1,1998_1999,22/08/98,MVV Maastricht,Graafschap,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N1,1998_1999,22/08/98,Vitesse,Roda JC,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,N1,1998_1999,22/08/98,Waalwijk,Nijmegen,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,N1,1998_1999,23/08/98,Ajax,Willem II,2.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,N1,1998_1999,23/08/98,NAC Breda,Utrecht,2.0,4.0,A,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,N1,1998_1999,28/08/98,Roda JC,Ajax,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,N1,1998_1999,29/08/98,AZ Alkmaar,Vitesse,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,N1,1998_1999,29/08/98,PSV Eindhoven,Heerenveen,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,N1,1998_1999,29/08/98,Willem II,For Sittard,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,N1,1998_1999,30/08/98,Feyenoord,MVV Maastricht,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,N1,1998_1999,30/08/98,Nijmegen,NAC Breda,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,N1,1998_1999,30/08/98,Twente,Sparta,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,N1,1998_1999,30/08/98,Utrecht,Cambuur,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,N1,1998_1999,05/09/98,Graafschap,Waalwijk,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,N1,1998_1999,06/09/98,Sparta,Roda JC,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,N1,1998_1999,08/09/98,Feyenoord,Graafschap,5.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,N1,1998_1999,08/09/98,Heerenveen,Willem II,2.0,2.0,D,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,N1,1998_1999,08/09/98,Waalwijk,PSV Eindhoven,3.0,4.0,A,2.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,N1,1998_1999,09/09/98,Ajax,AZ Alkmaar,5.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,N1,1998_1999,09/09/98,Cambuur,Nijmegen,2.0,2.0,D,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,N1,1998_1999,09/09/98,For Sittard,Vitesse,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,N1,1998_1999,09/09/98,MVV Maastricht,Utrecht,1.0,4.0,A,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,N1,1998_1999,09/09/98,NAC Breda,Twente,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,N1,1998_1999,11/09/98,Heerenveen,Feyenoord,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,N1,1998_1999,12/09/98,For Sittard,AZ Alkmaar,2.0,2.0,D,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,N1,1998_1999,12/09/98,PSV Eindhoven,MVV Maastricht,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,N1,1998_1999,12/09/98,Roda JC,NAC Breda,3.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,N1,1998_1999,12/09/98,Vitesse,Cambuur,4.0,2.0,H,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,N1,1998_1999,12/09/98,Willem II,Sparta,3.0,2.0,H,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,N1,1998_1999,13/09/98,Graafschap,Nijmegen,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,N1,1998_1999,13/09/98,Twente,Waalwijk,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,N1,1998_1999,13/09/98,Utrecht,Ajax,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,N1,1998_1999,18/09/98,Nijmegen,Roda JC,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,N1,1998_1999,19/09/98,AZ Alkmaar,Willem II,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,N1,1998_1999,19/09/98,Cambuur,Twente,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,N1,1998_1999,19/09/98,MVV Maastricht,Vitesse,4.0,2.0,H,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,N1,1998_1999,20/09/98,Ajax,Graafschap,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,N1,1998_1999,20/09/98,Sparta,NAC Breda,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,N1,1998_1999,20/09/98,Utrecht,For Sittard,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,N1,1998_1999,20/09/98,Waalwijk,Heerenveen,0.0,4.0,A,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,N1,1998_1999,22/09/98,PSV Eindhoven,Feyenoord,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,N1,1998_1999,23/09/98,For Sittard,Ajax,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,N1,1998_1999,23/09/98,Graafschap,Sparta,0.0,3.0,A,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,N1,1998_1999,23/09/98,Heerenveen,Utrecht,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,N1,1998_1999,23/09/98,NAC Breda,AZ Alkmaar,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,N1,1998_1999,23/09/98,Twente,MVV Maastricht,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,N1,1998_1999,23/09/98,Vitesse,Waalwijk,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,N1,1998_1999,23/09/98,Willem II,Cambuur,2.0,1.0,H,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,N1,1998_1999,26/09/98,Cambuur,Graafschap,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,N1,1998_1999,26/09/98,Feyenoord,Willem II,3.0,2.0,H,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,N1,1998_1999,26/09/98,For Sittard,MVV Maastricht,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,N1,1998_1999,26/09/98,Nijmegen,Heerenveen,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,N1,1998_1999,26/09/98,Roda JC,Waalwijk,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,N1,1998_1999,26/09/98,Vitesse,Sparta,5.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,N1,1998_1999,27/09/98,Ajax,NAC Breda,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,N1,1998_1999,27/09/98,AZ Alkmaar,PSV Eindhoven,4.0,1.0,H,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,N1,1998_1999,27/09/98,Utrecht,Twente,0.0,3.0,A,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,N1,1998_1999,03/10/98,MVV Maastricht,Cambuur,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,N1,1998_1999,03/10/98,PSV Eindhoven,For Sittard,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,N1,1998_1999,03/10/98,Willem II,Roda JC,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,N1,1998_1999,04/10/98,Graafschap,Vitesse,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,N1,1998_1999,04/10/98,Heerenveen,NAC Breda,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,N1,1998_1999,04/10/98,Sparta,Ajax,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,N1,1998_1999,04/10/98,Twente,Feyenoord,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,N1,1998_1999,04/10/98,Utrecht,Nijmegen,2.0,3.0,A,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,N1,1998_1999,04/10/98,Waalwijk,AZ Alkmaar,2.0,3.0,A,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,N1,1998_1999,16/10/98,AZ Alkmaar,Heerenveen,1.0,3.0,A,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,N1,1998_1999,17/10/98,Cambuur,Waalwijk,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,N1,1998_1999,17/10/98,Feyenoord,Roda JC,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,N1,1998_1999,17/10/98,For Sittard,Sparta,2.0,1.0,H,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,N1,1998_1999,17/10/98,NAC Breda,MVV Maastricht,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,N1,1998_1999,17/10/98,Vitesse,Willem II,3.0,2.0,H,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
