,Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,GBH,GBD,GBA,SBH,SBD,SBA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,BSH,BSD,BSA,SYH,SYD,SYA
0,P1,2013_2014,16/08/13,Pacos Ferreira,Sp Braga,0.0,2.0,A,0.0,1.0,A,3.6,3.25,2.1,3.6,3.1,2.1,3.1,3.0,2.2,3.9,3.1,1.91,3.89,3.43,2.08,3.6,3.2,2.0,3.6,3.2,2.05,3.75,3.4,2.1,31.0,4.45,3.87,3.55,3.29,2.1,1.95,28.0,2.26,2.16,1.76,1.68,,,,,,,5.16,3.61,1.81,,,,,,,,,,,,,,,,,,,,
1,P1,2013_2014,17/08/13,Estoril,Nacional,3.0,1.0,H,2.0,1.0,H,2.3,3.25,3.1,2.2,3.1,3.3,2.3,3.1,2.9,,,,2.39,3.37,3.17,2.25,3.2,2.75,2.3,3.25,3.0,2.4,3.3,3.12,31.0,2.44,2.32,3.37,3.19,3.2,3.02,26.0,2.25,2.16,1.8,1.67,,,,,,,2.21,3.28,3.73,,,,,,,,,,,,,,,,,,,,
2,P1,2013_2014,17/08/13,Guimaraes,Olhanense,2.0,0.0,H,0.0,0.0,D,2.0,3.4,3.75,1.95,3.25,3.8,1.8,3.2,4.2,1.95,3.1,3.8,2.05,3.43,4.0,1.67,3.4,4.33,1.95,3.3,3.6,2.05,3.4,4.0,30.0,2.05,1.97,3.43,3.29,4.4,3.78,26.0,2.3,2.2,1.75,1.65,,,,,,,2.0,3.43,4.28,,,,,,,,,,,,,,,,,,,,
3,P1,2013_2014,18/08/13,Belenenses,Rio Ave,0.0,3.0,A,0.0,1.0,A,2.63,3.1,2.75,2.5,3.0,2.85,2.4,3.0,2.85,2.55,3.0,2.65,2.76,3.14,2.86,2.6,3.0,2.7,2.63,3.13,2.63,2.62,3.1,2.7,30.0,2.8,2.63,3.25,3.07,2.86,2.7,19.0,2.44,2.28,1.68,1.59,,,,,,,3.04,3.26,2.57,,,,,,,,,,,,,,,,,,,,
4,P1,2013_2014,18/08/13,Gil Vicente,Academica,2.0,0.0,H,1.0,0.0,H,2.3,3.2,3.1,2.4,3.0,3.0,2.3,3.1,2.9,2.4,3.0,2.9,2.54,3.23,3.06,2.45,3.0,2.9,2.38,3.0,3.0,2.38,3.1,3.0,31.0,2.6,2.4,3.25,3.08,3.2,2.97,19.0,2.38,2.29,1.68,1.58,,,,,,,2.13,3.28,3.98,,,,,,,,,,,,,,,,,,,,
5,P1,2013_2014,18/08/13,Maritimo,Benfica,2.0,1.0,H,1.0,0.0,H,7.5,4.2,1.44,7.25,4.2,1.42,7.5,3.8,1.4,7.5,4.1,1.4,8.85,4.55,1.43,8.0,4.0,1.4,8.5,4.33,1.4,8.5,4.4,1.36,31.0,10.5,7.72,4.55,4.29,1.45,1.4,27.0,1.98,1.91,2.0,1.89,,,,,,,7.7,4.59,1.47,,,,,,,,,,,,,,,,,,,,
6,P1,2013_2014,18/08/13,Setubal,Porto,1.0,3.0,A,1.0,0.0,H,12.0,5.5,1.25,10.0,5.0,1.28,10.5,4.6,1.25,12.0,5.0,1.25,13.65,5.67,1.28,11.0,5.0,1.25,12.0,5.25,1.25,13.0,5.5,1.22,31.0,15.0,11.06,6.6,5.52,1.28,1.25,27.0,1.87,1.8,2.1,2.0,,,,,,,13.92,6.47,1.25,,,,,,,,,,,,,,,,,,,,
7,P1,2013_2014,18/08/13,Sp Lisbon,Arouca,5.0,1.0,H,2.0,1.0,H,1.4,4.5,8.0,1.36,4.4,8.25,1.4,3.8,7.5,1.36,4.25,8.5,1.41,4.73,9.19,1.4,4.2,7.5,1.4,4.33,7.5,1.36,4.33,8.5,31.0,1.46,1.39,4.73,4.35,9.4,7.73,27.0,2.02,1.95,1.95,1.85,,,,,,,1.41,4.87,9.0,,,,,,,,,,,,,,,,,,,,
8,P1,2013_2014,24/08/13,Academica,Sp Lisbon,0.0,4.0,A,0.0,2.0,A,4.0,3.4,1.91,4.33,3.5,1.78,4.0,3.2,1.8,4.0,3.4,1.8,4.5,3.5,1.92,4.2,3.2,1.85,4.0,3.3,1.9,4.33,3.5,1.91,31.0,4.5,4.03,3.5,3.34,1.95,1.89,29.0,2.25,2.16,1.83,1.68,15.0,0.75,1.74,1.69,2.28,2.2,5.23,3.72,1.77,,,,,,,,,,,,,,,,,,,,
9,P1,2013_2014,24/08/13,Olhanense,Pacos Ferreira,1.0,0.0,H,1.0,0.0,H,2.6,3.2,2.7,2.65,3.1,2.6,2.6,3.0,2.6,2.6,3.0,2.6,2.8,3.17,2.8,2.7,3.0,2.6,2.63,3.13,2.63,2.75,3.2,2.75,32.0,2.82,2.67,3.25,3.09,2.82,2.64,21.0,2.42,2.28,1.66,1.59,16.0,0.0,1.98,1.93,1.96,1.9,3.89,3.36,2.13,,,,,,,,,,,,,,,,,,,,
10,P1,2013_2014,25/08/13,Arouca,Estoril,1.0,2.0,A,0.0,2.0,A,2.9,3.25,2.4,3.1,3.1,2.3,2.8,3.1,2.3,3.1,3.0,2.25,3.25,3.3,2.38,3.1,3.1,2.25,3.0,3.13,2.38,3.2,3.25,2.38,32.0,3.25,3.01,3.3,3.13,2.48,2.35,19.0,2.38,2.26,1.72,1.6,16.0,0.0,2.31,2.19,1.74,1.67,3.54,3.63,2.14,,,,,,,,,,,,,,,,,,,,
11,P1,2013_2014,25/08/13,Benfica,Gil Vicente,2.0,1.0,H,0.0,0.0,D,1.17,7.0,15.0,1.15,7.0,14.5,1.15,6.0,13.0,1.15,6.5,17.0,1.2,7.45,16.02,1.18,6.0,13.0,1.18,7.0,11.0,1.18,7.0,17.0,32.0,1.2,1.18,8.0,6.74,20.0,13.16,19.0,1.6,1.52,2.56,2.44,17.0,-2.0,2.1,2.04,1.92,1.82,1.17,8.05,20.7,,,,,,,,,,,,,,,,,,,,
12,P1,2013_2014,25/08/13,Nacional,Guimaraes,1.0,1.0,D,1.0,1.0,D,2.0,3.3,3.8,2.0,3.4,3.5,2.0,3.2,3.3,1.95,3.3,3.5,2.11,3.48,3.73,2.05,3.25,3.4,2.0,3.3,3.6,2.1,3.4,3.6,31.0,2.11,2.04,3.48,3.3,4.0,3.51,28.0,2.03,1.95,1.95,1.84,15.0,-0.25,1.83,1.78,2.14,2.08,2.0,3.49,4.13,,,,,,,,,,,,,,,,,,,,
13,P1,2013_2014,25/08/13,Porto,Maritimo,3.0,0.0,H,2.0,0.0,H,1.17,7.5,13.0,1.14,7.0,15.5,1.15,6.0,13.0,1.15,6.5,18.0,1.19,7.65,17.56,1.18,6.0,13.0,1.17,7.5,12.0,1.17,7.5,18.0,32.0,1.19,1.17,8.1,6.94,19.5,13.73,18.0,1.6,1.5,2.62,2.47,17.0,-2.0,2.0,1.96,1.95,1.9,1.19,7.86,17.86,,,,,,,,,,,,,,,,,,,,
