,Date,HomeTeam,AwayTeam,FTHG,FTAG,HGFAvg,HGAAvg,AGFAvg,AGAAvg
40,1996-07-09,Aston Villa,Arsenal,2.0,2.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.3333333333333333
41,1996-07-09,Leeds,Man United,0.0,4.0,0.3333333333333333,2.0,2.6666666666666665,0.3333333333333333
42,1996-07-09,Liverpool,Southampton,2.0,1.0,1.3333333333333333,0.3333333333333333,1.0,2.0
43,1996-07-09,Middlesbrough,Coventry,4.0,0.0,3.6666666666666665,1.3333333333333333,0.3333333333333333,2.3333333333333335
44,1996-07-09,Nott'm Forest,Leicester,0.0,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.6666666666666666
45,1996-07-09,Sheffield Weds,Chelsea,0.0,2.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0
46,1996-07-09,Tottenham,Newcastle,1.0,2.0,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333
47,1996-07-09,Wimbledon,Everton,4.0,0.0,1.6666666666666667,1.0,0.6666666666666666,2.0
48,1996-08-09,Sunderland,West Ham,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.0
49,1996-09-09,Blackburn,Derby,1.0,2.0,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333
50,1996-09-14,Coventry,Leeds,2.0,1.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667
51,1996-09-14,Derby,Sunderland,1.0,0.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666
52,1996-09-14,Everton,Middlesbrough,1.0,2.0,1.0,1.0,1.0,1.0
53,1996-09-14,Man United,Nott'm Forest,4.0,1.0,2.6666666666666665,1.6666666666666667,2.0,2.0
54,1996-09-14,Newcastle,Blackburn,2.0,1.0,1.6666666666666667,1.0,1.0,1.6666666666666667
55,1996-09-14,Southampton,Tottenham,0.0,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333
56,1996-09-14,West Ham,Wimbledon,0.0,2.0,1.0,1.3333333333333333,0.6666666666666666,1.0
57,1996-09-15,Chelsea,Aston Villa,1.0,1.0,1.3333333333333333,0.3333333333333333,1.0,1.0
58,1996-09-15,Leicester,Liverpool,0.0,3.0,0.6666666666666666,2.0,2.3333333333333335,1.0
59,1996-09-16,Arsenal,Sheffield Weds,4.0,1.0,3.0,1.3333333333333333,1.6666666666666667,1.6666666666666667
60,1996-09-21,Aston Villa,Man United,0.0,0.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333
61,1996-09-21,Blackburn,Everton,1.0,1.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.6666666666666667
62,1996-09-21,Leeds,Newcastle,0.0,1.0,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666
63,1996-09-21,Liverpool,Chelsea,5.0,1.0,2.3333333333333335,0.6666666666666666,2.0,2.6666666666666665
64,1996-09-21,Middlesbrough,Arsenal,0.0,2.0,2.6666666666666665,1.0,2.0,0.6666666666666666
65,1996-09-21,Nott'm Forest,West Ham,0.0,2.0,0.3333333333333333,1.0,1.0,1.3333333333333333
66,1996-09-21,Sheffield Weds,Derby,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0
67,1996-09-21,Sunderland,Coventry,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,2.3333333333333335
68,1996-09-22,Tottenham,Leicester,1.0,2.0,0.6666666666666666,1.3333333333333333,1.0,1.0
69,1996-09-23,Wimbledon,Southampton,3.0,1.0,2.6666666666666665,0.3333333333333333,1.0,2.3333333333333335
70,1996-09-28,Arsenal,Sunderland,2.0,0.0,3.0,1.3333333333333333,0.0,1.0
71,1996-09-28,Chelsea,Nott'm Forest,1.0,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.3333333333333335
72,1996-09-28,Coventry,Blackburn,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333
73,1996-09-28,Derby,Wimbledon,0.0,2.0,0.6666666666666666,1.0,1.3333333333333333,0.3333333333333333
74,1996-09-28,Everton,Sheffield Weds,2.0,0.0,1.0,1.0,1.0,2.3333333333333335
75,1996-09-28,Leicester,Leeds,1.0,0.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.0
76,1996-09-28,Southampton,Middlesbrough,4.0,0.0,2.0,1.0,1.0,2.0
77,1996-09-29,Man United,Tottenham,2.0,0.0,2.6666666666666665,1.0,0.3333333333333333,1.0
78,1996-09-29,West Ham,Liverpool,1.0,2.0,1.0,1.6666666666666667,2.0,0.3333333333333333
79,1996-09-30,Newcastle,Aston Villa,4.0,3.0,2.3333333333333335,2.0,1.6666666666666667,1.6666666666666667
80,1996-12-10,Blackburn,Arsenal,0.0,2.0,0.6666666666666666,1.6666666666666667,2.0,0.6666666666666666
81,1996-12-10,Derby,Newcastle,0.0,1.0,0.3333333333333333,1.0,1.3333333333333333,0.3333333333333333
82,1996-12-10,Everton,West Ham,2.0,1.0,1.6666666666666667,1.0,1.0,0.6666666666666666
83,1996-12-10,Leeds,Nott'm Forest,2.0,0.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.3333333333333335
84,1996-12-10,Leicester,Chelsea,1.0,3.0,0.6666666666666666,2.0,2.0,2.0
85,1996-12-10,Man United,Liverpool,1.0,0.0,2.3333333333333335,0.3333333333333333,1.6666666666666667,0.6666666666666666
86,1996-12-10,Tottenham,Aston Villa,1.0,0.0,1.0,1.3333333333333333,1.3333333333333333,2.0
87,1996-12-10,Wimbledon,Sheffield Weds,4.0,2.0,3.6666666666666665,1.0,1.0,3.3333333333333335
88,1996-10-13,Coventry,Southampton,1.0,1.0,1.0,0.6666666666666666,1.0,2.0
89,1996-10-14,Sunderland,Middlesbrough,2.0,2.0,1.0,0.6666666666666666,1.3333333333333333,2.3333333333333335
90,1996-10-19,Arsenal,Coventry,0.0,0.0,2.0,0.3333333333333333,0.0,1.6666666666666667
91,1996-10-19,Aston Villa,Leeds,2.0,0.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.6666666666666667
92,1996-10-19,Chelsea,Wimbledon,2.0,4.0,1.3333333333333333,2.0,2.6666666666666665,0.6666666666666666
